sessionID,formId,totalKeyInputs,totalTimeSpentOnPage,averageTimePerField,browser_width,browser_height,pixel_ratio,user_agent,platform,language,timezone,mousespeed_sd,keystroke_sd
lajpy7t72,login-form,28,2119,1059.5,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.642529081
lajpy7t72,login-form,28,2106,1053,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.454135995
lajpy7t72,login-form,28,2108,1054,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.265775827
lajpy7t72,login-form,28,2102,1051,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.077452241
lajpy7t72,login-form,28,2115,1057.5,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.82553859
lajpy7t72,login-form,28,2104,1052,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.077452241
lajpy7t72,login-form,28,2106,1053,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.255084415
lajpy7t72,login-form,28,2114,1057,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,6.008224815
lajpy7t72,login-form,28,2116,1058,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,4.884116638
lajpy7t72,login-form,28,2114,1057,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.448851832
lajpy7t72,login-form,28,2111,1055.5,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,6.013929875
lajpy7t72,login-form,28,2111,1055.5,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.44331054
lajpy7t72,login-form,28,2106,1053,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.454135995
lajpy7t72,login-form,28,2110,1055,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.260563219
lajpy7t72,login-form,28,2116,1058,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.255084415
lajpy7t72,login-form,28,2111,1055.5,824,754,1.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,5.448851832
